dwid,db_date,year,month,day,hour,quarter,week,day_name,month_name,weekend_flag
2019010215,2019-01-02,2019,1,2,15,1,1,Wednesday,January,false
2019010216,2019-01-02,2019,1,2,16,1,1,Wednesday,January,false
2019010217,2019-01-02,2019,1,2,17,1,1,Wednesday,January,false
2019010218,2019-01-02,2019,1,2,18,1,1,Wednesday,January,false
2019010219,2019-01-02,2019,1,2,19,1,1,Wednesday,January,false
2019010220,2019-01-02,2019,1,2,20,1,1,Wednesday,January,false
2019010221,2019-01-02,2019,1,2,21,1,1,Wednesday,January,false
2019010222,2019-01-02,2019,1,2,22,1,1,Wednesday,January,false
2019010223,2019-01-02,2019,1,2,23,1,1,Wednesday,January,false
2019010300,2019-01-03,2019,1,3,0,1,1,Thursday,January,false
2019010301,2019-01-03,2019,1,3,1,1,1,Thursday,January,false
2019010302,2019-01-03,2019,1,3,2,1,1,Thursday,January,false
2019010303,2019-01-03,2019,1,3,3,1,1,Thursday,January,false
2019010304,2019-01-03,2019,1,3,4,1,1,Thursday,January,false
2019010305,2019-01-03,2019,1,3,5,1,1,Thursday,January,false
2019010306,2019-01-03,2019,1,3,6,1,1,Thursday,January,false
2019010307,2019-01-03,2019,1,3,7,1,1,Thursday,January,false
2019010308,2019-01-03,2019,1,3,8,1,1,Thursday,January,false
2019010309,2019-01-03,2019,1,3,9,1,1,Thursday,January,false
2019010310,2019-01-03,2019,1,3,10,1,1,Thursday,January,false
2019010311,2019-01-03,2019,1,3,11,1,1,Thursday,January,false
2019010312,2019-01-03,2019,1,3,12,1,1,Thursday,January,false
2019010313,2019-01-03,2019,1,3,13,1,1,Thursday,January,false
2019010314,2019-01-03,2019,1,3,14,1,1,Thursday,January,false
2019010315,2019-01-03,2019,1,3,15,1,1,Thursday,January,false
2019010316,2019-01-03,2019,1,3,16,1,1,Thursday,January,false
2019010317,2019-01-03,2019,1,3,17,1,1,Thursday,January,false
2019010318,2019-01-03,2019,1,3,18,1,1,Thursday,January,false
2019010319,2019-01-03,2019,1,3,19,1,1,Thursday,January,false
2019010320,2019-01-03,2019,1,3,20,1,1,Thursday,January,false
2019010321,2019-01-03,2019,1,3,21,1,1,Thursday,January,false
2019010322,2019-01-03,2019,1,3,22,1,1,Thursday,January,false
2019010323,2019-01-03,2019,1,3,23,1,1,Thursday,January,false
2019010400,2019-01-04,2019,1,4,0,1,1,Friday,January,false
2019010401,2019-01-04,2019,1,4,1,1,1,Friday,January,false
2019010402,2019-01-04,2019,1,4,2,1,1,Friday,January,false
2019010403,2019-01-04,2019,1,4,3,1,1,Friday,January,false
2019010404,2019-01-04,2019,1,4,4,1,1,Friday,January,false
2019010405,2019-01-04,2019,1,4,5,1,1,Friday,January,false
2019010406,2019-01-04,2019,1,4,6,1,1,Friday,January,false
2019010407,2019-01-04,2019,1,4,7,1,1,Friday,January,false
2019010408,2019-01-04,2019,1,4,8,1,1,Friday,January,false
2019010409,2019-01-04,2019,1,4,9,1,1,Friday,January,false
2019010410,2019-01-04,2019,1,4,10,1,1,Friday,January,false
2019010411,2019-01-04,2019,1,4,11,1,1,Friday,January,false
2019010412,2019-01-04,2019,1,4,12,1,1,Friday,January,false
2019010413,2019-01-04,2019,1,4,13,1,1,Friday,January,false
2019010414,2019-01-04,2019,1,4,14,1,1,Friday,January,false
2019010415,2019-01-04,2019,1,4,15,1,1,Friday,January,false
2019010416,2019-01-04,2019,1,4,16,1,1,Friday,January,false
2019010417,2019-01-04,2019,1,4,17,1,1,Friday,January,false
2019010418,2019-01-04,2019,1,4,18,1,1,Friday,January,false
2019010419,2019-01-04,2019,1,4,19,1,1,Friday,January,false
2019010420,2019-01-04,2019,1,4,20,1,1,Friday,January,false
2019010421,2019-01-04,2019,1,4,21,1,1,Friday,January,false
2019010422,2019-01-04,2019,1,4,22,1,1,Friday,January,false
2019010423,2019-01-04,2019,1,4,23,1,1,Friday,January,false
2019010500,2019-01-05,2019,1,5,0,1,1,Saturday,January,true
2019010501,2019-01-05,2019,1,5,1,1,1,Saturday,January,true
2019010502,2019-01-05,2019,1,5,2,1,1,Saturday,January,true
2019010503,2019-01-05,2019,1,5,3,1,1,Saturday,January,true
2019010504,2019-01-05,2019,1,5,4,1,1,Saturday,January,true
2019010505,2019-01-05,2019,1,5,5,1,1,Saturday,January,true
2019010506,2019-01-05,2019,1,5,6,1,1,Saturday,January,true
2019010507,2019-01-05,2019,1,5,7,1,1,Saturday,January,true
2019010508,2019-01-05,2019,1,5,8,1,1,Saturday,January,true
2019010509,2019-01-05,2019,1,5,9,1,1,Saturday,January,true
2019010510,2019-01-05,2019,1,5,10,1,1,Saturday,January,true
2019010511,2019-01-05,2019,1,5,11,1,1,Saturday,January,true
2019010512,2019-01-05,2019,1,5,12,1,1,Saturday,January,true
2019010513,2019-01-05,2019,1,5,13,1,1,Saturday,January,true
2019010514,2019-01-05,2019,1,5,14,1,1,Saturday,January,true
2019010515,2019-01-05,2019,1,5,15,1,1,Saturday,January,true
2019010516,2019-01-05,2019,1,5,16,1,1,Saturday,January,true
2019010517,2019-01-05,2019,1,5,17,1,1,Saturday,January,true
2019010518,2019-01-05,2019,1,5,18,1,1,Saturday,January,true
2019010519,2019-01-05,2019,1,5,19,1,1,Saturday,January,true
2019010520,2019-01-05,2019,1,5,20,1,1,Saturday,January,true
2019010521,2019-01-05,2019,1,5,21,1,1,Saturday,January,true
2019010522,2019-01-05,2019,1,5,22,1,1,Saturday,January,true
2019010523,2019-01-05,2019,1,5,23,1,1,Saturday,January,true
2019010600,2019-01-06,2019,1,6,0,1,1,Sunday,January,true
2019010601,2019-01-06,2019,1,6,1,1,1,Sunday,January,true
2019010602,2019-01-06,2019,1,6,2,1,1,Sunday,January,true
2019010603,2019-01-06,2019,1,6,3,1,1,Sunday,January,true
2019010604,2019-01-06,2019,1,6,4,1,1,Sunday,January,true
2019010605,2019-01-06,2019,1,6,5,1,1,Sunday,January,true
2019010606,2019-01-06,2019,1,6,6,1,1,Sunday,January,true
2019010607,2019-01-06,2019,1,6,7,1,1,Sunday,January,true
2019010608,2019-01-06,2019,1,6,8,1,1,Sunday,January,true
2019010609,2019-01-06,2019,1,6,9,1,1,Sunday,January,true
2019010610,2019-01-06,2019,1,6,10,1,1,Sunday,January,true
2019010611,2019-01-06,2019,1,6,11,1,1,Sunday,January,true
2019010612,2019-01-06,2019,1,6,12,1,1,Sunday,January,true
2019010613,2019-01-06,2019,1,6,13,1,1,Sunday,January,true
2019010614,2019-01-06,2019,1,6,14,1,1,Sunday,January,true
2019010615,2019-01-06,2019,1,6,15,1,1,Sunday,January,true
2019010616,2019-01-06,2019,1,6,16,1,1,Sunday,January,true
2019010617,2019-01-06,2019,1,6,17,1,1,Sunday,January,true
2019010618,2019-01-06,2019,1,6,18,1,1,Sunday,January,true
2019010619,2019-01-06,2019,1,6,19,1,1,Sunday,January,true
2019010620,2019-01-06,2019,1,6,20,1,1,Sunday,January,true
2019010621,2019-01-06,2019,1,6,21,1,1,Sunday,January,true
2019010622,2019-01-06,2019,1,6,22,1,1,Sunday,January,true
2019010623,2019-01-06,2019,1,6,23,1,1,Sunday,January,true
2019010700,2019-01-07,2019,1,7,0,1,2,Monday,January,false
2019010701,2019-01-07,2019,1,7,1,1,2,Monday,January,false
2019010702,2019-01-07,2019,1,7,2,1,2,Monday,January,false
2019010703,2019-01-07,2019,1,7,3,1,2,Monday,January,false
2019010704,2019-01-07,2019,1,7,4,1,2,Monday,January,false
2019010705,2019-01-07,2019,1,7,5,1,2,Monday,January,false
2019010706,2019-01-07,2019,1,7,6,1,2,Monday,January,false
2019010707,2019-01-07,2019,1,7,7,1,2,Monday,January,false
2019010708,2019-01-07,2019,1,7,8,1,2,Monday,January,false
2019010709,2019-01-07,2019,1,7,9,1,2,Monday,January,false
2019010710,2019-01-07,2019,1,7,10,1,2,Monday,January,false
2019010711,2019-01-07,2019,1,7,11,1,2,Monday,January,false
2019010712,2019-01-07,2019,1,7,12,1,2,Monday,January,false
2019010713,2019-01-07,2019,1,7,13,1,2,Monday,January,false
2019010714,2019-01-07,2019,1,7,14,1,2,Monday,January,false
2019010715,2019-01-07,2019,1,7,15,1,2,Monday,January,false
2019010716,2019-01-07,2019,1,7,16,1,2,Monday,January,false
2019010717,2019-01-07,2019,1,7,17,1,2,Monday,January,false
2019010718,2019-01-07,2019,1,7,18,1,2,Monday,January,false
2019010719,2019-01-07,2019,1,7,19,1,2,Monday,January,false
2019010720,2019-01-07,2019,1,7,20,1,2,Monday,January,false
2019010721,2019-01-07,2019,1,7,21,1,2,Monday,January,false
2019010722,2019-01-07,2019,1,7,22,1,2,Monday,January,false
2019010723,2019-01-07,2019,1,7,23,1,2,Monday,January,false
2019010800,2019-01-08,2019,1,8,0,1,2,Tuesday,January,false
2019010801,2019-01-08,2019,1,8,1,1,2,Tuesday,January,false
2019010802,2019-01-08,2019,1,8,2,1,2,Tuesday,January,false
2019010803,2019-01-08,2019,1,8,3,1,2,Tuesday,January,false
2019010804,2019-01-08,2019,1,8,4,1,2,Tuesday,January,false
2019010805,2019-01-08,2019,1,8,5,1,2,Tuesday,January,false
2019010806,2019-01-08,2019,1,8,6,1,2,Tuesday,January,false
2019010807,2019-01-08,2019,1,8,7,1,2,Tuesday,January,false
2019010808,2019-01-08,2019,1,8,8,1,2,Tuesday,January,false
2019010809,2019-01-08,2019,1,8,9,1,2,Tuesday,January,false
2019010810,2019-01-08,2019,1,8,10,1,2,Tuesday,January,false
2019010811,2019-01-08,2019,1,8,11,1,2,Tuesday,January,false
2019010812,2019-01-08,2019,1,8,12,1,2,Tuesday,January,false
2019010813,2019-01-08,2019,1,8,13,1,2,Tuesday,January,false
2019010814,2019-01-08,2019,1,8,14,1,2,Tuesday,January,false
2019010815,2019-01-08,2019,1,8,15,1,2,Tuesday,January,false
2019010816,2019-01-08,2019,1,8,16,1,2,Tuesday,January,false
2019010817,2019-01-08,2019,1,8,17,1,2,Tuesday,January,false
2019010818,2019-01-08,2019,1,8,18,1,2,Tuesday,January,false
2019010819,2019-01-08,2019,1,8,19,1,2,Tuesday,January,false
2019010820,2019-01-08,2019,1,8,20,1,2,Tuesday,January,false
2019010821,2019-01-08,2019,1,8,21,1,2,Tuesday,January,false
2019010822,2019-01-08,2019,1,8,22,1,2,Tuesday,January,false
2019010823,2019-01-08,2019,1,8,23,1,2,Tuesday,January,false
2019010900,2019-01-09,2019,1,9,0,1,2,Wednesday,January,false
2019010901,2019-01-09,2019,1,9,1,1,2,Wednesday,January,false
2019010902,2019-01-09,2019,1,9,2,1,2,Wednesday,January,false
2019010903,2019-01-09,2019,1,9,3,1,2,Wednesday,January,false
2019010904,2019-01-09,2019,1,9,4,1,2,Wednesday,January,false
2019010905,2019-01-09,2019,1,9,5,1,2,Wednesday,January,false
2019010906,2019-01-09,2019,1,9,6,1,2,Wednesday,January,false
2019010907,2019-01-09,2019,1,9,7,1,2,Wednesday,January,false
2019010908,2019-01-09,2019,1,9,8,1,2,Wednesday,January,false
2019010909,2019-01-09,2019,1,9,9,1,2,Wednesday,January,false
2019010910,2019-01-09,2019,1,9,10,1,2,Wednesday,January,false
2019010911,2019-01-09,2019,1,9,11,1,2,Wednesday,January,false
2019010912,2019-01-09,2019,1,9,12,1,2,Wednesday,January,false
2019010913,2019-01-09,2019,1,9,13,1,2,Wednesday,January,false
2019010914,2019-01-09,2019,1,9,14,1,2,Wednesday,January,false
2019010915,2019-01-09,2019,1,9,15,1,2,Wednesday,January,false
2019010916,2019-01-09,2019,1,9,16,1,2,Wednesday,January,false
2019010917,2019-01-09,2019,1,9,17,1,2,Wednesday,January,false
2019010918,2019-01-09,2019,1,9,18,1,2,Wednesday,January,false
2019010919,2019-01-09,2019,1,9,19,1,2,Wednesday,January,false
2019010920,2019-01-09,2019,1,9,20,1,2,Wednesday,January,false
2019010921,2019-01-09,2019,1,9,21,1,2,Wednesday,January,false
2019010922,2019-01-09,2019,1,9,22,1,2,Wednesday,January,false
2019010923,2019-01-09,2019,1,9,23,1,2,Wednesday,January,false
2019011000,2019-01-10,2019,1,10,0,1,2,Thursday,January,false
2019011001,2019-01-10,2019,1,10,1,1,2,Thursday,January,false
2019011002,2019-01-10,2019,1,10,2,1,2,Thursday,January,false
2019011003,2019-01-10,2019,1,10,3,1,2,Thursday,January,false
2019011004,2019-01-10,2019,1,10,4,1,2,Thursday,January,false
2019011005,2019-01-10,2019,1,10,5,1,2,Thursday,January,false
2019011006,2019-01-10,2019,1,10,6,1,2,Thursday,January,false
2019011007,2019-01-10,2019,1,10,7,1,2,Thursday,January,false
2019011008,2019-01-10,2019,1,10,8,1,2,Thursday,January,false
2019011009,2019-01-10,2019,1,10,9,1,2,Thursday,January,false
2019011010,2019-01-10,2019,1,10,10,1,2,Thursday,January,false
2019011011,2019-01-10,2019,1,10,11,1,2,Thursday,January,false
2019011012,2019-01-10,2019,1,10,12,1,2,Thursday,January,false
2019011013,2019-01-10,2019,1,10,13,1,2,Thursday,January,false
2019011014,2019-01-10,2019,1,10,14,1,2,Thursday,January,false
2019011015,2019-01-10,2019,1,10,15,1,2,Thursday,January,false
2019011016,2019-01-10,2019,1,10,16,1,2,Thursday,January,false
2019011017,2019-01-10,2019,1,10,17,1,2,Thursday,January,false
2019011018,2019-01-10,2019,1,10,18,1,2,Thursday,January,false
2019011019,2019-01-10,2019,1,10,19,1,2,Thursday,January,false
2019011020,2019-01-10,2019,1,10,20,1,2,Thursday,January,false
2019011021,2019-01-10,2019,1,10,21,1,2,Thursday,January,false
2019011022,2019-01-10,2019,1,10,22,1,2,Thursday,January,false
2019011023,2019-01-10,2019,1,10,23,1,2,Thursday,January,false
2019011100,2019-01-11,2019,1,11,0,1,2,Friday,January,false
2019011101,2019-01-11,2019,1,11,1,1,2,Friday,January,false
2019011102,2019-01-11,2019,1,11,2,1,2,Friday,January,false
2019011103,2019-01-11,2019,1,11,3,1,2,Friday,January,false
2019011104,2019-01-11,2019,1,11,4,1,2,Friday,January,false
2019011105,2019-01-11,2019,1,11,5,1,2,Friday,January,false
2019011106,2019-01-11,2019,1,11,6,1,2,Friday,January,false
2019011107,2019-01-11,2019,1,11,7,1,2,Friday,January,false
2019011108,2019-01-11,2019,1,11,8,1,2,Friday,January,false
2019011109,2019-01-11,2019,1,11,9,1,2,Friday,January,false
2019011110,2019-01-11,2019,1,11,10,1,2,Friday,January,false
2019011111,2019-01-11,2019,1,11,11,1,2,Friday,January,false
2019011112,2019-01-11,2019,1,11,12,1,2,Friday,January,false
2019011113,2019-01-11,2019,1,11,13,1,2,Friday,January,false
2019011114,2019-01-11,2019,1,11,14,1,2,Friday,January,false
2019011115,2019-01-11,2019,1,11,15,1,2,Friday,January,false
2019011116,2019-01-11,2019,1,11,16,1,2,Friday,January,false
2019011117,2019-01-11,2019,1,11,17,1,2,Friday,January,false
2019011118,2019-01-11,2019,1,11,18,1,2,Friday,January,false
2019011119,2019-01-11,2019,1,11,19,1,2,Friday,January,false
2019011120,2019-01-11,2019,1,11,20,1,2,Friday,January,false
2019011121,2019-01-11,2019,1,11,21,1,2,Friday,January,false
2019011122,2019-01-11,2019,1,11,22,1,2,Friday,January,false
2019011123,2019-01-11,2019,1,11,23,1,2,Friday,January,false
2019011200,2019-01-12,2019,1,12,0,1,2,Saturday,January,true
2019011201,2019-01-12,2019,1,12,1,1,2,Saturday,January,true
2019011202,2019-01-12,2019,1,12,2,1,2,Saturday,January,true
2019011203,2019-01-12,2019,1,12,3,1,2,Saturday,January,true
2019011204,2019-01-12,2019,1,12,4,1,2,Saturday,January,true
2019011205,2019-01-12,2019,1,12,5,1,2,Saturday,January,true
2019011206,2019-01-12,2019,1,12,6,1,2,Saturday,January,true
2019011207,2019-01-12,2019,1,12,7,1,2,Saturday,January,true
2019011208,2019-01-12,2019,1,12,8,1,2,Saturday,January,true
2019011209,2019-01-12,2019,1,12,9,1,2,Saturday,January,true
2019011210,2019-01-12,2019,1,12,10,1,2,Saturday,January,true
2019011211,2019-01-12,2019,1,12,11,1,2,Saturday,January,true
2019011212,2019-01-12,2019,1,12,12,1,2,Saturday,January,true
2019011213,2019-01-12,2019,1,12,13,1,2,Saturday,January,true
2019011214,2019-01-12,2019,1,12,14,1,2,Saturday,January,true
2019011215,2019-01-12,2019,1,12,15,1,2,Saturday,January,true
2019011216,2019-01-12,2019,1,12,16,1,2,Saturday,January,true
2019011217,2019-01-12,2019,1,12,17,1,2,Saturday,January,true
2019011218,2019-01-12,2019,1,12,18,1,2,Saturday,January,true
2019011219,2019-01-12,2019,1,12,19,1,2,Saturday,January,true
2019011220,2019-01-12,2019,1,12,20,1,2,Saturday,January,true
2019011221,2019-01-12,2019,1,12,21,1,2,Saturday,January,true
2019011222,2019-01-12,2019,1,12,22,1,2,Saturday,January,true
2019011223,2019-01-12,2019,1,12,23,1,2,Saturday,January,true
2019011300,2019-01-13,2019,1,13,0,1,2,Sunday,January,true
2019011301,2019-01-13,2019,1,13,1,1,2,Sunday,January,true
2019011302,2019-01-13,2019,1,13,2,1,2,Sunday,January,true
2019011303,2019-01-13,2019,1,13,3,1,2,Sunday,January,true
2019011304,2019-01-13,2019,1,13,4,1,2,Sunday,January,true
2019011305,2019-01-13,2019,1,13,5,1,2,Sunday,January,true
2019011306,2019-01-13,2019,1,13,6,1,2,Sunday,January,true
2019011307,2019-01-13,2019,1,13,7,1,2,Sunday,January,true
2019011308,2019-01-13,2019,1,13,8,1,2,Sunday,January,true
2019011309,2019-01-13,2019,1,13,9,1,2,Sunday,January,true
2019011310,2019-01-13,2019,1,13,10,1,2,Sunday,January,true
2019011311,2019-01-13,2019,1,13,11,1,2,Sunday,January,true
2019011312,2019-01-13,2019,1,13,12,1,2,Sunday,January,true
2019011313,2019-01-13,2019,1,13,13,1,2,Sunday,January,true
2019011314,2019-01-13,2019,1,13,14,1,2,Sunday,January,true
2019011315,2019-01-13,2019,1,13,15,1,2,Sunday,January,true
2019011316,2019-01-13,2019,1,13,16,1,2,Sunday,January,true
2019011317,2019-01-13,2019,1,13,17,1,2,Sunday,January,true
2019011318,2019-01-13,2019,1,13,18,1,2,Sunday,January,true
2019011319,2019-01-13,2019,1,13,19,1,2,Sunday,January,true
2019011320,2019-01-13,2019,1,13,20,1,2,Sunday,January,true
2019011321,2019-01-13,2019,1,13,21,1,2,Sunday,January,true
2019011322,2019-01-13,2019,1,13,22,1,2,Sunday,January,true
2019011323,2019-01-13,2019,1,13,23,1,2,Sunday,January,true
2019011400,2019-01-14,2019,1,14,0,1,3,Monday,January,false
2019011401,2019-01-14,2019,1,14,1,1,3,Monday,January,false
2019011402,2019-01-14,2019,1,14,2,1,3,Monday,January,false
2019011403,2019-01-14,2019,1,14,3,1,3,Monday,January,false
2019011404,2019-01-14,2019,1,14,4,1,3,Monday,January,false
2019011405,2019-01-14,2019,1,14,5,1,3,Monday,January,false
2019011406,2019-01-14,2019,1,14,6,1,3,Monday,January,false
2019011407,2019-01-14,2019,1,14,7,1,3,Monday,January,false
2019011408,2019-01-14,2019,1,14,8,1,3,Monday,January,false
2019011409,2019-01-14,2019,1,14,9,1,3,Monday,January,false
2019011410,2019-01-14,2019,1,14,10,1,3,Monday,January,false
2019011411,2019-01-14,2019,1,14,11,1,3,Monday,January,false
2019011412,2019-01-14,2019,1,14,12,1,3,Monday,January,false
2019011413,2019-01-14,2019,1,14,13,1,3,Monday,January,false
2019011414,2019-01-14,2019,1,14,14,1,3,Monday,January,false
2019011415,2019-01-14,2019,1,14,15,1,3,Monday,January,false
2019011416,2019-01-14,2019,1,14,16,1,3,Monday,January,false
2019011417,2019-01-14,2019,1,14,17,1,3,Monday,January,false
2019011418,2019-01-14,2019,1,14,18,1,3,Monday,January,false
2019011419,2019-01-14,2019,1,14,19,1,3,Monday,January,false
2019011420,2019-01-14,2019,1,14,20,1,3,Monday,January,false
2019011421,2019-01-14,2019,1,14,21,1,3,Monday,January,false
2019011422,2019-01-14,2019,1,14,22,1,3,Monday,January,false
2019011423,2019-01-14,2019,1,14,23,1,3,Monday,January,false
2019011500,2019-01-15,2019,1,15,0,1,3,Tuesday,January,false
2019011501,2019-01-15,2019,1,15,1,1,3,Tuesday,January,false
2019011502,2019-01-15,2019,1,15,2,1,3,Tuesday,January,false
2019011503,2019-01-15,2019,1,15,3,1,3,Tuesday,January,false
2019011504,2019-01-15,2019,1,15,4,1,3,Tuesday,January,false
2019011505,2019-01-15,2019,1,15,5,1,3,Tuesday,January,false
2019011506,2019-01-15,2019,1,15,6,1,3,Tuesday,January,false
2019011507,2019-01-15,2019,1,15,7,1,3,Tuesday,January,false
2019011508,2019-01-15,2019,1,15,8,1,3,Tuesday,January,false
2019011509,2019-01-15,2019,1,15,9,1,3,Tuesday,January,false
2019011510,2019-01-15,2019,1,15,10,1,3,Tuesday,January,false
2019011511,2019-01-15,2019,1,15,11,1,3,Tuesday,January,false
2019011512,2019-01-15,2019,1,15,12,1,3,Tuesday,January,false
2019011513,2019-01-15,2019,1,15,13,1,3,Tuesday,January,false
2019011514,2019-01-15,2019,1,15,14,1,3,Tuesday,January,false
2019011515,2019-01-15,2019,1,15,15,1,3,Tuesday,January,false
2019011516,2019-01-15,2019,1,15,16,1,3,Tuesday,January,false
2019011517,2019-01-15,2019,1,15,17,1,3,Tuesday,January,false
2019011518,2019-01-15,2019,1,15,18,1,3,Tuesday,January,false
2019011519,2019-01-15,2019,1,15,19,1,3,Tuesday,January,false
2019011520,2019-01-15,2019,1,15,20,1,3,Tuesday,January,false
2019011521,2019-01-15,2019,1,15,21,1,3,Tuesday,January,false
2019011522,2019-01-15,2019,1,15,22,1,3,Tuesday,January,false
2019011523,2019-01-15,2019,1,15,23,1,3,Tuesday,January,false
2019011600,2019-01-16,2019,1,16,0,1,3,Wednesday,January,false
2019011601,2019-01-16,2019,1,16,1,1,3,Wednesday,January,false
2019011602,2019-01-16,2019,1,16,2,1,3,Wednesday,January,false
2019011603,2019-01-16,2019,1,16,3,1,3,Wednesday,January,false
2019011604,2019-01-16,2019,1,16,4,1,3,Wednesday,January,false
2019011605,2019-01-16,2019,1,16,5,1,3,Wednesday,January,false
2019011606,2019-01-16,2019,1,16,6,1,3,Wednesday,January,false
2019011607,2019-01-16,2019,1,16,7,1,3,Wednesday,January,false
2019011608,2019-01-16,2019,1,16,8,1,3,Wednesday,January,false
2019011609,2019-01-16,2019,1,16,9,1,3,Wednesday,January,false
2019011610,2019-01-16,2019,1,16,10,1,3,Wednesday,January,false
2019011611,2019-01-16,2019,1,16,11,1,3,Wednesday,January,false
2019011612,2019-01-16,2019,1,16,12,1,3,Wednesday,January,false
2019011613,2019-01-16,2019,1,16,13,1,3,Wednesday,January,false
2019011614,2019-01-16,2019,1,16,14,1,3,Wednesday,January,false
2019011615,2019-01-16,2019,1,16,15,1,3,Wednesday,January,false
2019011616,2019-01-16,2019,1,16,16,1,3,Wednesday,January,false
2019011617,2019-01-16,2019,1,16,17,1,3,Wednesday,January,false
2019011618,2019-01-16,2019,1,16,18,1,3,Wednesday,January,false
2019011619,2019-01-16,2019,1,16,19,1,3,Wednesday,January,false
2019011620,2019-01-16,2019,1,16,20,1,3,Wednesday,January,false
2019011621,2019-01-16,2019,1,16,21,1,3,Wednesday,January,false
2019011622,2019-01-16,2019,1,16,22,1,3,Wednesday,January,false
2019011623,2019-01-16,2019,1,16,23,1,3,Wednesday,January,false
2019011700,2019-01-17,2019,1,17,0,1,3,Thursday,January,false
2019011701,2019-01-17,2019,1,17,1,1,3,Thursday,January,false
2019011702,2019-01-17,2019,1,17,2,1,3,Thursday,January,false
2019011703,2019-01-17,2019,1,17,3,1,3,Thursday,January,false
2019011704,2019-01-17,2019,1,17,4,1,3,Thursday,January,false
2019011705,2019-01-17,2019,1,17,5,1,3,Thursday,January,false
2019011706,2019-01-17,2019,1,17,6,1,3,Thursday,January,false
2019011707,2019-01-17,2019,1,17,7,1,3,Thursday,January,false
2019011708,2019-01-17,2019,1,17,8,1,3,Thursday,January,false
2019011709,2019-01-17,2019,1,17,9,1,3,Thursday,January,false
2019011710,2019-01-17,2019,1,17,10,1,3,Thursday,January,false
2019011711,2019-01-17,2019,1,17,11,1,3,Thursday,January,false
2019011712,2019-01-17,2019,1,17,12,1,3,Thursday,January,false
2019011713,2019-01-17,2019,1,17,13,1,3,Thursday,January,false
2019011714,2019-01-17,2019,1,17,14,1,3,Thursday,January,false
2019011715,2019-01-17,2019,1,17,15,1,3,Thursday,January,false
2019011716,2019-01-17,2019,1,17,16,1,3,Thursday,January,false
2019011717,2019-01-17,2019,1,17,17,1,3,Thursday,January,false
2019011718,2019-01-17,2019,1,17,18,1,3,Thursday,January,false
2019011719,2019-01-17,2019,1,17,19,1,3,Thursday,January,false
2019011720,2019-01-17,2019,1,17,20,1,3,Thursday,January,false
2019011721,2019-01-17,2019,1,17,21,1,3,Thursday,January,false
2019011722,2019-01-17,2019,1,17,22,1,3,Thursday,January,false
2019011723,2019-01-17,2019,1,17,23,1,3,Thursday,January,false
